# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX22720573_cds.txt" "SRX22720573.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX22720573.bam
ZMO1_ZMO0216	CP023715.1	211393	212964	-	1572	2849
ZMO1_ZMO0219	CP023715.1	213317	216148	+	2832	7778
ZMO1_ZMO0220	CP023715.1	216380	216718	+	339	12116
ZMO1_ZMO0221	CP023715.1	217047	217601	+	555	19356
ZMO1_ZMO0222	CP023715.1	217815	218114	+	300	926
ZMO1_ZMO0223	CP023715.1	218194	218955	+	762	782
ZMO1_ZMO0224	CP023715.1	218964	219611	-	648	1670
ZMO1_ZMO0225	CP023715.1	219611	220732	-	1122	3522
ZMO1_ZMO0226	CP023715.1	221111	221860	+	750	5190
ZMO1_ZMO0227	CP023715.1	221876	224641	+	2766	7342
ZMO1_ZMO0228	CP023715.1	224638	226185	+	1548	3478
ZMO1_ZMO0229	CP023715.1	226190	227215	+	1026	1094
ZMO1_ZMO0230	CP023715.1	227212	227997	+	786	581
ZMO1_ZMO0231	CP023715.1	228223	228771	+	549	11715
ZMO1_ZMO0232	CP023715.1	228888	229637	-	750	6202
ZMO1_ZMO0233	CP023715.1	230210	230596	-	387	919
ZMO1_ZMO0234	CP023715.1	230689	232263	-	1575	40927
ZMO1_ZMO0236	CP023715.1	232800	233828	+	1029	5639
ZMO1_ZMO2046	CP023715.1	234003	234263	-	261	13
ZMO1_ZMO0238	CP023715.1	234262	234816	+	555	158153
ZMO1_ZMO0239	CP023715.1	234819	236348	+	1530	408764
ZMO1_ZMO0240	CP023715.1	236382	237278	+	897	236722
ZMO1_ZMO0241	CP023715.1	237307	238761	+	1455	433430
ZMO1_ZMO0242	CP023715.1	238821	239087	+	267	60380
ZMO1_ZMO0243	CP023715.1	239486	240322	-	837	4091
ZMO1_ZMO0244	CP023715.1	240584	240859	-	276	60586
ZMO1_ZMO0246	CP023715.1	241394	241948	+	555	21373
ZMO1_ZMO0247	CP023715.1	241973	243265	+	1293	29648
ZMO1_ZMO0249	CP023715.1	243551	243718	+	168	48905
ZMO1_ZMO0250	CP023715.1	243834	244196	-	363	1231
ZMO1_ZMO0251	CP023715.1	244368	244826	+	459	17056
ZMO1_ZMO0252	CP023715.1	245175	254129	+	8955	3671
ZMO1_ZMO0253	CP023715.1	254134	255609	+	1476	142
ZMO1_ZMO0254	CP023715.1	255606	257753	+	2148	380
ZMO1_ZMO0255	CP023715.1	257746	258927	+	1182	444
ZMO1_ZMO0256	CP023715.1	259049	260773	+	1725	15334
ZMO1_ZMO0257	CP023715.1	260996	261673	+	678	13238
ZMO1_ZMO0258	CP023715.1	261676	263133	+	1458	3719
ZMO1_ZMO0260	CP023715.1	263330	263995	+	666	536
ZMO1_ZMO0262	CP023715.1	263992	264639	+	648	489
ZMO1_ZMO0263	CP023715.1	264645	266048	-	1404	3353
ZMO1_ZMO0264	CP023715.1	266103	267536	-	1434	3552
ZMO1_ZMO0265	CP023715.1	267591	269021	-	1431	5672
ZMO1_ZMO0266	CP023715.1	269076	270503	-	1428	2840
ZMO1_ZMO0267	CP023715.1	270558	271985	-	1428	3439
ZMO1_ZMO0268	CP023715.1	272040	273464	-	1425	2296
ZMO1_ZMO0269	CP023715.1	273519	274940	-	1422	3354
ZMO1_ZMO0270	CP023715.1	274995	276476	-	1482	9404
ZMO1_ZMO2001	CP023715.1	276463	276930	-	468	738
ZMO1_ZMO0271	CP023715.1	277112	278863	+	1752	6214
ZMO1_ZMO2047	CP023715.1	278860	279066	-	207	2
ZMO1_ZMO0273	CP023715.1	279056	280231	+	1176	36402
ZMO1_ZMO0274	CP023715.1	280306	281805	-	1500	4577
ZMO1_ZMO0275	CP023715.1	281853	282635	-	783	5549
ZMO1_ZMO0276	CP023715.1	282850	283446	-	597	2826
ZMO1_ZMO0277	CP023715.1	283452	284090	-	639	4142
ZMO1_ZMO0278	CP023715.1	284123	284752	-	630	12718
ZMO1_ZMO0279	CP023715.1	285024	285800	+	777	94840
ZMO1_ZMO0281	CP023715.1	286193	286840	-	648	935
ZMO1_ZMO0282	CP023715.1	287065	288234	+	1170	8922
ZMO1_ZMO0283	CP023715.1	288238	291381	+	3144	13902
ZMO1_ZMO0285	CP023715.1	291381	292919	+	1539	4383
ZMO1_ZMO0286	CP023715.1	292966	293739	-	774	7460
ZMO1_ZMO0287	CP023715.1	294090	295238	+	1149	6210
ZMO1_ZMO0290	CP023715.1	295367	296623	+	1257	6903
ZMO1_ZMO0291	CP023715.1	296613	297470	-	858	4565
ZMO1_ZMO0293	CP023715.1	297731	299173	-	1443	9197
ZMO1_ZMO0294	CP023715.1	299858	300145	-	288	71505
ZMO1_ZMO0296	CP023715.1	300451	300933	+	483	360
ZMO1_ZMO0297	CP023715.1	301182	302507	+	1326	12990
ZMO1_ZMO0298	CP023715.1	302605	303303	-	699	8970
ZMO1_ZMO0299	CP023715.1	303462	304715	-	1254	9417
ZMO1_ZMO0300	CP023715.1	304714	306348	+	1635	4851
ZMO1_ZMO0301	CP023715.1	306494	307246	+	753	583
ZMO1_ZMO0302	CP023715.1	307218	307514	-	297	85
ZMO1_ZMO0303	CP023715.1	307520	308524	-	1005	603
ZMO1_ZMO0305	CP023715.1	308672	309145	-	474	927
ZMO1_ZMO0306	CP023715.1	309239	310507	-	1269	3139
ZMO1_ZMO0307	CP023715.1	310535	312268	-	1734	3908
ZMO1_ZMO0309	CP023715.1	312601	313617	+	1017	3957
ZMO1_ZMO0311	CP023715.1	313683	314498	-	816	6219
ZMO1_ZMO0312	CP023715.1	314701	315843	+	1143	5302
