Sample	Unassigned_Read_Type	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_MappingQuality	Unassigned_FragmentLength	Assigned	percent_assigned	Unassigned_MultiMapping	Unassigned_Singleton	Unassigned_NoFeatures	Unassigned_Duplicate	Unassigned_rRNA	Total	Unassigned_NonSplit	Unassigned_Unmapped	Unassigned_Ambiguity	reads_aligned_percentage	not_aligned_percentage	not_aligned	reads_processed	reads_aligned	per_base_sequence_content	per_sequence_quality_scores	overrepresented_sequences	per_sequence_gc_content	Sequences flagged as poor quality	avg_sequence_length	sequence_length_distribution	sequence_duplication_levels	Total Sequences	basic_statistics	Filename	per_base_sequence_quality	adapter_content	%GC	median_sequence_length	per_tile_sequence_quality	File type	Total Bases	per_base_n_content	total_deduplicated_percentage	Encoding	Sequence length	percent_trimmed	r_written	quality_trimmed	r_processed	cutadapt_version	r_with_adapters	bp_written	bp_processed	se_antisense	failed	pe_antisense	se_sense	pe_sense
Kiley_B_WT_+O2_Ctrl_C	0	0	31353	0	0	0	99822	1.2767302853234213	0	0	7423581	0	2	7818566	0	263758	50	96.63	3.37	131879.0	3909283.0	3777404.0	fail	pass	warn	warn	0.0	142.88124190548498	warn	fail	3909283.0	pass	Kiley_B_WT_+O2_Ctrl_C_val_1.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	560.2 Mbp	pass	9.600945377474105	Sanger / Illumina 1.9	20-150	0.3355123170424071	3911176	438069	3911176	4.4	1030174	560402495	562289044		0.0611	0.274		0.665
Kiley_B_WT_+O2_Paraquat_A	0	0	400321	0	0	0	6607689	83.56477447451496	0	0	585616	0	2454	7907266	0	306606	4580	96.12	3.88	153303.0	3953633.0	3800330.0	fail	pass	warn	warn	0.0	143.54584757867005	warn	fail	3953633.0	pass	Kiley_B_WT_+O2_Paraquat_A_val_2.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	569.2 Mbp	pass	15.288393942956729	Sanger / Illumina 1.9	20-150	0.3260134851009392	3955065	382121	3955065	4.4	1061969	569235687	571097542		0.3904	0.5005		0.109
Kiley_B_WT_+O2_Paraquat_B	0	0	330376	0	0	0	5475711	83.96629823409984	0	0	473097	0	1326	6521320	0	237036	3774	96.37	3.63	118518.0	3260660.0	3142142.0	fail	pass	warn	warn	0.0	143.0596228984316	warn	fail	3260660.0	pass	Kiley_B_WT_+O2_Paraquat_B_val_2.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	467.8 Mbp	pass	15.251529683273368	Sanger / Illumina 1.9	20-150	0.3271447827606702	3261971	325364	3261971	4.4	864521	467847744	469383307		0.3866	0.5365		0.0769
Kiley_B_WT_+O2_Paraquat_C	0	0	492143	0	0	0	8085577	84.07134772193824	0	0	762246	0	2159	9617518	0	269582	5811	97.2	2.8	134791.0	4808759.0	4673968.0	fail	pass	warn	warn	0.0	142.86338221566103	warn	fail	4808759.0	pass	Kiley_B_WT_+O2_Paraquat_C_val_2.fq.gz	pass	pass	47.0	150	pass	Conventional base calls	688.9 Mbp	pass	9.719820829928942	Sanger / Illumina 1.9	20-150	0.3228418377254505	4811238	202882	4811238	4.4	1427860	689127899	691359898		0.3327	0.648		0.0193
Kiley_B_WT_-O2_Ctrl_A	0	0	411821	0	0	0	7109981	85.40661344455042	0	0	573568	0	2099	8324860	0	221862	5529	97.33	2.67	110931.0	4162430.0	4051499.0	fail	pass	warn	warn	0.0	143.81142986188357	warn	fail	4162430.0	pass	Kiley_B_WT_-O2_Ctrl_A_val_1.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	600.4 Mbp	pass	8.212169562225263	Sanger / Illumina 1.9	20-150	0.3200681669773103	4163528	329768	4163528	4.4	1134763	600636459	602565078		0.1443	0.8477		0.008
Kiley_B_WT_-O2_Ctrl_B	0	0	300055	0	0	0	5296759	84.9669917813915	0	0	399291	0	1801	6233902	0	231998	3998	96.28	3.72	115999.0	3116951.0	3000952.0	fail	pass	warn	warn	0.0	143.72840702340204	warn	fail	3116951.0	pass	Kiley_B_WT_-O2_Ctrl_B_val_1.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	449.3 Mbp	pass	11.527356209527364	Sanger / Illumina 1.9	20-150	0.4430125369998881	3121594	815860	3121594	4.4	845857	449416064	451415893		0.4319	0.5195		0.0486
Kiley_B_WT_-O2_Ctrl_C	0	0	404490	0	0	0	6983837	84.98552754196503	0	0	555727	0	1664	8217678	0	266582	5378	96.76	3.24	133291.0	4108839.0	3975548.0	fail	pass	warn	warn	0.0	143.82820378213896	warn	fail	4108839.0	pass	Kiley_B_WT_-O2_Ctrl_C_val_1.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	592.7 Mbp	pass	7.82932900083185	Sanger / Illumina 1.9	20-150	0.3218015483371573	4112318	167050	4112318	4.4	1227852	593272614	595187938		0.1858	0.814		0.0002
Kiley_B_WT_-O2_NoFe_A	0	0	401532	0	0	0	7155405	86.43785307049015	0	0	466890	0	1519	8278092	0	246686	6060	97.02	2.98	123343.0	4139046.0	4015703.0	fail	pass	warn	warn	0.0	143.006118801289	warn	fail	4139046.0	pass	Kiley_B_WT_-O2_NoFe_A_val_2.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	593.5 Mbp	pass	10.572866599302454	Sanger / Illumina 1.9	20-150	0.3362553941145406	4141057	467057	4141057	4.4	1095846	593628050	595630891		0.2754	0.3594		0.3652
Kiley_B_WT_-O2_NoFe_B	0	0	488892	0	0	0	8372235	84.39131999358919	0	0	679499	0	2317	9920730	0	371700	6087	96.25	3.75	185850.0	4960365.0	4774515.0	fail	pass	warn	warn	0.0	143.5700080538428	warn	fail	4960365.0	pass	Kiley_B_WT_-O2_NoFe_B_val_2.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	714.2 Mbp	pass	9.359213031958658	Sanger / Illumina 1.9	20-150	0.33541345602286	4962544	528523	4962544	4.4	1340396	714290375	716694264		0.1496	0.6266		0.2238
Kiley_B_WT_-O2_NoFe_C	0	0	434214	0	0	0	7390608	84.22742679825578	0	0	563182	0	1542	8774586	0	379364	5676	95.68	4.32	189682.0	4387293.0	4197611.0	fail	pass	warn	warn	0.0	144.30381080087426	warn	fail	4387293.0	pass	Kiley_B_WT_-O2_NoFe_C_val_2.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	635 Mbp	pass	11.772899688949444	Sanger / Illumina 1.9	20-150	0.3232618446743447	4388971	188194	4388971	4.4	1323328	635110428	637170156		0.3463	0.5843		0.0695
