Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>100	>1k	>500	>5k	>10k+	>10	>50
Kiley_B_WT_+O2_Paraquat_A										25.01514687609843	4.78665675731359	4.825434585239395	0.7246473574192238	1.5023747932396323	24.041354281331444	12.875863456770151
Kiley_B_WT_+O2_Paraquat_B										23.02232356501157	3.8323189580107595	4.4377937869131845	0.0	1.3512450501357673	26.879781769880335	13.631072503890362
Kiley_B_WT_+O2_Paraquat_C										30.947202031002753	6.814310634397598	6.404002048795886	1.4227358627986786	1.8749488178315086	22.594331979623913	14.12571738609094
Kiley_B_WT_-O2_Ctrl_A										30.406650256454654	14.46775427207154	12.806691670384792	2.043885101821049	0.5308353366185354	16.04443636165201	10.839237603454007
Kiley_B_WT_-O2_Ctrl_B										28.38504074791284	10.371637562696472	10.15239516658484	0.8567904165389172	0.0	19.70336785880276	11.943623164062075
Kiley_B_WT_-O2_Ctrl_C										31.165886276160066	14.70352007312427	12.378374598152567	1.7994161689287251	1.0288951225562164	15.73606644866109	10.774597156087601
Kiley_B_WT_-O2_NoFe_A										30.110204915086435	4.959142279725235	6.536315369020304	0.4189882217215062	1.1760659931408215	24.208055785992634	14.916079803450428
Kiley_B_WT_-O2_NoFe_B										32.298535336244086	7.371802589859181	7.275669435957586	0.8070253106391001	1.2628451620185919	21.685177502617563	14.766209360872834
Kiley_B_WT_-O2_NoFe_C										30.275162534485457	6.665056086012535	6.666501049814047	0.21208857575541828	1.1168366049194764	21.97822262530417	13.824119315293718
Kiley_B_WT_-O2_NoFe_DIP_A										27.769352222324077	4.59451806782771	5.2934795295132355	0.0	1.1230486382781864	26.51977436786917	15.428687747739136
Kiley_B_WT_-O2_NoFe_DIP_B										31.45192289037916	7.203736171019587	6.991631586029086	0.47615746311638213	1.3433431278563461	22.758603560379896	15.035881840854199
Kiley_B_WT_-O2_NoFe_DIP_C										34.800920554814965	9.632982901798753	9.599973443193857	1.3006229213010034	1.4545204923419086	18.776793243124388	13.532119198624098
Kiley_B_WT_-O2_Peroxide_A										31.457316533343583	16.844028049970497	12.266758116867175	1.9165292098051094	0.9562511951530376	14.928593896121239	10.705378595427877
Kiley_B_WT_-O2_Peroxide_C										31.76469000210329	13.070775911163397	10.799919064662491	0.5508054228331767	1.0194762413157568	18.005333796452376	12.31341845476778
SRX10341586										19.380647163197857	4.218740125270268	4.455037910999643	0.34163903531501266	0.18031798096128895	25.916718649868546	10.3238392237477
SRX10341587										18.676030896708724	5.499029801998012	5.268370335539409	0.4847572984932872	0.24391037226609524	23.52294685449832	9.145546653154343
SRX10341588										18.38359254015126	3.6819566176463785	4.525840667202787	0.47110045674587037	0.27250777316872493	26.2044693742635	10.45202774752549
SRX10341589										13.482785702315352	4.169867951399167	2.4652875428205085	3.115093098808633	9.063414806348323	24.763535298342017	9.133435152569207
SRX10341590										19.43208756356243	4.794229718753322	5.2204653052731445	1.3422574929593718	3.608273487545393	21.867760539205896	9.223411015028493
SRX10341591										18.780844630337878	3.7678812183949137	4.551965120157839	0.6792876931377823	2.3694318972784183	23.786509675872672	9.69361109346672
SRX10341592										21.203610094992474	5.418666322159353	6.212178151441267	0.17110364817885115	0.44779498312228805	23.858780358127508	9.582104977008555
SRX10341593										20.6696746904166	5.281837928556631	5.54051921882708	0.1648813377500766	0.4647002801022835	24.399472796182984	9.589002592106993
SRX10341594										20.92538004880332	6.192492196251477	5.937492468311732	0.5857501911651809	0.48796792334584893	24.140122897068462	9.754112757698698
SRX10341595										21.90060819627233	5.793332426924572	6.517078587380727	0.2289777919853201	0.27366442205916836	23.87366284587069	9.651330705056395
SRX10341596										20.3621384741027	5.382185353226399	5.691882402655255	0.30508168121439094	0.29999893394023314	24.71950499440262	9.664988171701719
SRX10341597										20.00542632267779	4.159288118434916	5.211638124303991	0.189760931482361	0.15416270499042645	24.990842724072426	9.594614771379772
SRX11348531										21.286614714953245	8.274170551125334	6.644231960418846	0.536321494520911	1.7248287399812823	21.95035961198525	9.416574945577675
SRX11348532										20.73749219739767	7.772911952258002	6.263523255158397	0.7484911090694846	1.6324306403945288	23.70016429683773	10.053218922148051
SRX1432806										17.542398037917984	28.05571046344198	9.851109741138607	10.547181209433203	4.668205965755227	9.965380954764127	5.650817993558841
SRX14563846										21.362836873836937	20.85401003440582	9.442669649240951	6.910689985720139	11.13480580677422	12.182952050881944	7.348031675541942
SRX14563847										21.752099191392794	20.443287146504613	9.58025640744641	7.09856548274482	8.643631248367209	13.241228326028123	7.66979861032919
SRX14563848										23.47219207871212	14.367427129447693	10.26301547370364	2.5169713968631506	2.0125909526401675	18.597690848771855	8.882811936050688
