Sample	se_antisense	failed	pe_antisense	se_sense	pe_sense
SRX3411520		0.7903	0.1276		0.0821
SRX3411521		0.4871	0.2588		0.2541
SRX3411522		0.6029	0.2052		0.192
SRX3411523		0.6302	0.1776		0.1922
SRX3411524		0.9203	0.0412		0.0385
SRX3411525		0.7191	0.1419		0.1389
SRX3541437		0.4567	0.5289		0.0144
SRX3541438		0.3961	0.5858		0.0181
SRX3541439		0.4238	0.5613		0.0149
SRX3541440		0.4019	0.5836		0.0146
SRX3541441		0.4752	0.5082		0.0166
SRX3541442		0.4767	0.4864		0.0369
SRX3541443		0.5353	0.4288		0.0358
SRX3541444		0.5183	0.4497		0.032
SRX3541445		0.4986	0.4677		0.0336
SRX3541446		0.4408	0.5242		0.035
SRX3541447		0.4692	0.5014		0.0294
SRX3541448		0.4214	0.5406		0.038
SRX3541449		0.5155	0.4251		0.0594
SRX3541450		0.5669	0.3834		0.0497
SRX3541451		0.4461	0.4813		0.0726
SRX3541452		0.5224	0.4165		0.0611
SRX3541453		0.5515	0.3946		0.0539
SRX5252024	0.4201	0.4309		0.149	
SRX5252025	0.3977	0.4241		0.1782	
SRX5252026	0.3648	0.4244		0.2108	
SRX5252027	0.4257	0.4347		0.1396	
SRX5252028	0.4421	0.4183		0.1396	
SRX5252029	0.4011	0.429		0.17	
SRX5252030	0.3799	0.4304		0.1897	
SRX5252031	0.4886	0.4259		0.0855	
SRX5252032	0.4252	0.4263		0.1485	
SRX5252033	0.4322	0.4412		0.1266	
SRX5252034	0.4289	0.4337		0.1374	
SRX5252035	0.4572	0.4557		0.0871	
SRX5252036	0.3724	0.4251		0.2025	
SRX5252037	0.3919	0.4287		0.1794	
SRX5252038	0.4361	0.4254		0.1384	
SRX5252039	0.3607	0.4284		0.2109	
SRX5252040	0.4575	0.4386		0.1039	
SRX5252041	0.367	0.4249		0.2081	
SRX5252042	0.3902	0.4254		0.1844	
SRX5252043	0.3953	0.4286		0.1761	
SRX5252044	0.3763	0.4278		0.1959	
SRX5252045	0.3977	0.4236		0.1787	
SRX5252046	0.3675	0.4217		0.2108	
SRX5252047	0.392	0.4306		0.1774	
SRX5252048	0.3726	0.4239		0.2035	
SRX5252049	0.3717	0.4262		0.2021	
SRX5252050	0.3631	0.4222		0.2147	
SRX5252051	0.3753	0.4247		0.2	
SRX5252052	0.3904	0.4152		0.1943	
SRX5252053	0.4368	0.4212		0.142	
SRX5252054	0.4135	0.4267		0.1598	
SRX5252055	0.4315	0.4154		0.1531	
SRX5252056	0.4432	0.4361		0.1207	
SRX5252057	0.4374	0.4267		0.136	
SRX5252058	0.5007	0.4207		0.0786	
SRX5252059	0.5043	0.4473		0.0485	
SRX5252060	0.3769	0.4211		0.202	
SRX5252061	0.4453	0.4218		0.1329	
SRX5329169		0.5182	0.4498		0.032
SRX5329170		0.402	0.5834		0.0146
SRX5329171		0.4174	0.5642		0.0184
SRX5329172		0.4767	0.4864		0.0369
SRX5329173		0.4691	0.5012		0.0296
SRX5329174		0.3869	0.597		0.0161
SRX5329175		0.4238	0.5613		0.0149
SRX5329176		0.5153	0.4576		0.0271
SRX5329177		0.3961	0.5857		0.0181
SRX5329178		0.5352	0.4289		0.0359
SRX5329179		0.475	0.5083		0.0167
SRX5329180		0.4407	0.5242		0.0351
SRX5329181		0.446	0.4814		0.0726
SRX5329182		0.4011	0.5749		0.0239
SRX5329183		0.4534	0.4822		0.0644
SRX5329184		0.4566	0.529		0.0144
SRX5329185		0.5223	0.4165		0.0611
SRX5329186		0.5514	0.3946		0.054
SRX5329187		0.4212	0.5407		0.0381
SRX5329188		0.4985	0.4679		0.0336
SRX5329189		0.5669	0.3836		0.0496
SRX5329190		0.5157	0.425		0.0593
SRX5329191		0.5352	0.4293		0.0356
SRX5329192		0.4863	0.4849		0.0287
SRX5329193		0.4591	0.5152		0.0257
SRX5329194		0.4453	0.5399		0.0149
SRX6700162		0.4054	0.579		0.0156
SRX6700163		0.3486	0.6369		0.0146
SRX6700164		0.4067	0.577		0.0163
SRX6700165		0.3717	0.607		0.0212
SRX6700166		0.4179	0.5566		0.0255
SRX6700167		0.4161	0.557		0.0269
SRX6700168		0.4241	0.5496		0.0262
SRX6700169		0.4437	0.5294		0.0269
SRX6700170		0.44	0.532		0.028
SRX6700171		0.4413	0.5		0.0587
SRX6700172		0.4325	0.5051		0.0625
SRX6700173		0.4483	0.4832		0.0685
SRX6700174		0.3803	0.6054		0.0143
SRX6700175		0.3932	0.5891		0.0176
SRX6700176		0.3925	0.5897		0.0177
SRX6700177		0.4066	0.5742		0.0192
SRX6700178		0.4107	0.5709		0.0185
SRX6700179		0.4577	0.5263		0.016
SRX6700180		0.526	0.4539		0.0201
SRX6700181		0.4445	0.5324		0.023
SRX6700182		0.5056	0.4753		0.0191
SRX6700183		0.4815	0.4666		0.052
SRX6700184		0.4698	0.4712		0.059
SRX6700185		0.4807	0.4699		0.0494
SRX6922015		0.4023	0.577		0.0207
SRX6922016		0.4052	0.5788		0.0161
SRX6922017		0.4127	0.5672		0.0201
SRX6922018		0.4169	0.562		0.0211
SRX6922019		0.3694	0.5972		0.0334
SRX6922020		0.3845	0.5783		0.0373
SRX6922021		0.3843	0.5789		0.0368
SRX6922022		0.4	0.5821		0.0179
SRX6922023		0.4025	0.5808		0.0167
SRX6922024		0.4026	0.5773		0.0201
SRX6922025		0.4071	0.5714		0.0214
SRX6922026		0.4062	0.573		0.0208
SRX6922027		0.403	0.5756		0.0214
SRX6922028		0.4041	0.5749		0.0209
SRX6922029		0.4122	0.5675		0.0203
SRX7101023		0.4124	0.5706		0.0169
SRX7101024		0.3971	0.5847		0.0182
SRX7101025		0.3989	0.5833		0.0178
SRX7101026		0.4376	0.5557		0.0067
SRX7101027		0.4484	0.5442		0.0074
SRX7101028		0.45	0.543		0.007
SRX7101029		0.4042	0.5769		0.0189
SRX7101030		0.4068	0.5781		0.0151
SRX7101031		0.4094	0.5732		0.0174
SRX7101032		0.4783	0.4986		0.0231
SRX7101033		0.4495	0.533		0.0175
SRX7101034		0.4628	0.5202		0.017
SRX7101035		0.4696	0.4401		0.0903
SRX7101036	0.5875	0.3934		0.0191	
SRX7101037	0.6087	0.3763		0.015	
SRX7101038	0.6002	0.383		0.0169	
SRX7101039	0.6026	0.3767		0.0207	
SRX7101040	0.6127	0.3681		0.0191	
SRX7101041	0.5942	0.3886		0.0172	
SRX7551986		0.4047	0.5774		0.0178
SRX7551987		0.3949	0.5886		0.0165
SRX7551988		0.4028	0.5758		0.0214
SRX7551989		0.4058	0.5723		0.022
SRX7551990		0.4194	0.56		0.0205
SRX7551991		0.4047	0.5749		0.0204
SRX8694706		0.4318	0.5483		0.0198
SRX8694707		0.4258	0.5566		0.0176
SRX8694708		0.4234	0.5562		0.0204
SRX8694709		0.4281	0.5523		0.0197
SRX8694710		0.4005	0.5871		0.0124
SRX8694711		0.4118	0.5759		0.0123
SRX8694712		0.4235	0.5657		0.0107
SRX8694713		0.4134	0.5767		0.0099
SRX8694714		0.4217	0.5666		0.0117
SRX8694715		0.4209	0.5631		0.016
SRX8694716		0.4178	0.5686		0.0135
SRX8694717		0.411	0.574		0.0151
SRX8694718		0.4305	0.5586		0.0109
SRX8694719		0.4338	0.5533		0.0128
SRX8694720		0.4038	0.5861		0.01
SRX8694721		0.4011	0.5846		0.0142
SRX8694722		0.4042	0.5842		0.0116
SRX8694723		0.4346	0.5562		0.0092
SRX8694724		0.4306	0.5581		0.0114
SRX8694725		0.438	0.5517		0.0103
SRX8694726		0.452	0.5401		0.0079
SRX8694727		0.4507	0.5405		0.0088
SRX8694728		0.4504	0.541		0.0086
SRX8694729		0.4507	0.5399		0.0095
