Sample	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	FastQC_mqc-generalstats-fastqc-percent_gc	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-total_sequences	featureCounts_mqc-generalstats-featurecounts-percent_assigned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_fails
Kiley_B_WT_+O2_Ctrl_B	3248615.0	5605926	143.09738923313316	150	97.04	48.0	0.3230715695735092	3347752.0	83.7267216926463	89.8874109202722	18.181818181818183
Kiley_B_WT_+O2_Ctrl_C	3777404.0	99822	142.88124190548498	150	96.63	48.0	0.3355123170424071	3909283.0	1.2767302853234213	90.3990546225259	18.181818181818183
Kiley_B_WT_+O2_Paraquat_A	3800330.0	6607689	143.54584757867005	150	96.12	48.0	0.3260134851009392	3953633.0	83.56477447451496	84.71160605704327	18.181818181818183
Kiley_B_WT_+O2_Paraquat_B	3142142.0	5475711	143.0596228984316	150	96.37	48.0	0.32714478276067027	3260660.0	83.96629823409984	84.74847031672664	18.181818181818183
Kiley_B_WT_+O2_Paraquat_C	4673968.0	8085577	142.86338221566103	150	97.2	47.0	0.3228418377254505	4808759.0	84.07134772193824	90.28017917007105	18.181818181818183
Kiley_B_WT_-O2_Ctrl_A	4051499.0	7109981	143.81142986188357	150	97.33	48.0	0.3200681669773103	4162430.0	85.40661344455042	91.78783043777474	18.181818181818183
Kiley_B_WT_-O2_Ctrl_B	3000952.0	5296759	143.72840702340204	150	96.28	48.0	0.4430125369998881	3116951.0	84.9669917813915	88.47264379047263	18.181818181818183
Kiley_B_WT_-O2_Ctrl_C	3975548.0	6983837	143.82820378213896	150	96.76	48.0	0.3218015483371573	4108839.0	84.98552754196503	92.17067099916815	18.181818181818183
Kiley_B_WT_-O2_NoFe_A	4015703.0	7155405	143.006118801289	150	97.02	48.0	0.33625539411454064	4139046.0	86.43785307049015	89.42713340069754	18.181818181818183
Kiley_B_WT_-O2_NoFe_B	4774515.0	8372235	143.5700080538428	150	96.25	48.0	0.33541345602286	4960365.0	84.39131999358919	90.64078696804134	18.181818181818183
Kiley_B_WT_-O2_NoFe_C	4197611.0	7390608	144.30381080087426	150	95.68	48.0	0.3232618446743447	4387293.0	84.22742679825578	88.22710031105055	18.181818181818183
Kiley_B_WT_-O2_NoFe_DIP_A	3076620.0	5483744	144.08622894663316	150	95.62	48.0	0.42137857458710876	3217597.0	85.21489795024051	88.08249813377782	18.181818181818183
Kiley_B_WT_-O2_NoFe_DIP_B	4157206.0	7269165	143.24726155043592	150	96.53	48.0	0.3223967446298842	4306634.0	84.39497064296619	90.88273348988983	18.181818181818183
Kiley_B_WT_-O2_NoFe_DIP_C	5640474.0	9877302	143.4563916043463	150	96.19	48.0	0.3191734053258725	5863653.0	84.22481685051963	92.66615694874139	18.181818181818183
Kiley_B_WT_-O2_Peroxide_A	4081038.0	7315540	142.78237929405802	147	97.2	48.0	0.36081660519260694	4198447.0	87.12197629266251	92.94421196260167	18.181818181818183
Kiley_B_WT_-O2_Peroxide_C	3681072.0	6523426	142.6287160475851	147	96.4	48.0	0.31019027803309795	3818506.0	85.418564223809	92.11200112479679	18.181818181818183
SRX10341586	8580346.0	14912307	148.70563062356788	150	94.41	48.0	0.4915274219400236	9088425.0	82.04010595895328	79.64425415441386	18.181818181818183
SRX10341587	8344794.0	13798932	148.69729551284536	150	93.7	48.0	0.5194308032744497	8905755.0	77.47199423294263	78.5593040512237	18.181818181818183
