Sample	percent_trimmed	r_written	quality_trimmed	r_processed	cutadapt_version	r_with_adapters	bp_written	bp_processed
SRX14953923	0.692598886101308	36930468	6013684	36930468	4.4	12275822	3667468799	3693046800
SRX14953924	0.7301211396265073	27609958	4834760	27609958	4.4	8876127	2740837186	2760995800
SRX14953925	1.3310241260548807	30923166	27388235	30923166	4.4	7888698	3051157120	3092316600
SRX14953926	1.3026637334197289	27226711	21721595	27226711	4.4	8174986	2687203851	2722671100
SRX14953927	3.029131824088984	34294248	20725209	34294248	4.4	12900026	3325543002	3429424800
SRX14953928	0.7054101618982254	36903184	5427440	36903184	4.4	12495515	3664286519	3690318400
SRX14953929	3.0090481625150205	31343712	39904713	31343712	4.4	8926469	3040056461	3134371200
SRX14953930	0.7761989721472036	31802803	5316592	31802803	4.4	10428069	3155594997	3180280300
SRX14953931	1.0932969616140071	22561485	12286861	22561485	4.4	5840336	2231482097	2256148500
SRX14953932	0.9294795807068024	24039789	12589346	24039789	4.4	5845863	2381634407	2403978900
SRX18804540	0.5351327754915306	10587948	878606	10587948	4.4	3306346	1579693263	1588192200
SRX18804541	0.49208030820822896	11129705	538201	11129705	4.4	3709649	1661240687	1669455750
SRX18804542	0.5144138278310907	9149027	429993	9149027	4.4	3052437	1365294471	1372354050
SRX18804543	0.479908808900622	9266109	687339	9266109	4.4	2911767	1383246019	1389916350
SRX18804544	0.4468703803054388	12989901	1320533	12989901	4.4	4057118	1939777947	1948485150
SRX18804545	0.40917106279718907	11631062	589617	11631062	4.4	3790051	1737520659	1744659300
SRX18804546	0.4965144215442937	8887860	251061	8887860	4.4	2932505	1326559574	1333179000
SRX18804547	0.44131307194471964	10434757	933468	10434757	4.4	3181035	1558306058	1565213550
SRX18804548	0.4511319774435139	10642556	1084390	10642556	4.4	3244329	1589181604	1596383400
SRX18804549	0.5137308276351847	9525755	654338	9525755	4.4	3142321	1421522739	1428863250
SRX18804550	0.5817075294794877	8740343	1181372	8740343	4.4	2687322	1303424965	1311051450
SRX18804551	0.4757995104039168	8170000	684446	8170000	4.4	2634925	1219669077	1225500000
SRX18804552	1.0049248224473406	8200431	822226	8200431	4.4	2832591	1217703425	1230064650
SRX18804553	0.7612878545902212	8506333	1027975	8506333	4.4	2689058	1266236298	1275949950
SRX18804554	0.9067648468512468	7874773	877181	7874773	4.4	2500151	1170505099	1181215950
SRX19817112	3.7761603293034933	11150484	2694834	11150484	4.4	4043471	1609413577	1672572600
SRX19817113	4.5472591083184115	10078022	1250678	10078022	4.4	4082860	1442962234	1511703300
SRX19817114	4.584031593011337	10715450	1530769	10715450	4.4	4355983	1533637558	1607317500
SRX19817115	3.7161398279555704	10910360	2881717	10910360	4.4	3921266	1575737365	1636554000
SRX19817116	3.612267400853005	10668318	2472213	10668318	4.4	3810382	1542442474	1600247700
SRX19817117	3.715484824742115	11431887	1279456	11431887	4.4	4492280	1651070546	1714783050
SRX2036088	7.973604859562039	47122765	21687237	47122765	4.4	22025321	2168269096	2356138250
SRX2036089	7.871420424797732	44021704	18654466	44021704	4.4	20715667	2027828530	2201085200
SRX2036090	8.264513125945006	43140551	16750465	43140551	4.4	20787123	1978759725	2157027550
SRX2036091	8.34670982304809	41135979	14239930	41135979	4.4	19115369	1885123910	2056798950
SRX2036300	3.0606011207383763	13813229	25367640	13813229	4.4	5390703	1352436577	1395136129
SRX2036303	3.080384093770132	12645131	24075499	12645131	4.4	4922548	1237816852	1277158231
SRX2036305	7.7139698383773005	15473052	101815909	15473052	4.4	6106691	1442226009	1562778252
SRX2036307	3.1883887234493624	16122699	28824123	16122699	4.4	6401107	1576473113	1628392599
SRX2037533	1.626687167695106	36895710	14358083	36895710	4.4	11506480	1814776611	1844785500
SRX2037535	1.6406006611496757	38550121	15383107	38550121	4.4	11954148	1895883373	1927506050
SRX2037536	1.7742198016241062	48685855	22695615	48685855	4.4	14419112	2391103046	2434292750
SRX2037537	1.7713446172010494	58540743	26374386	58540743	4.4	17871805	2875189235	2927037150
SRX2037538	1.515070614107562	49097767	15954058	49097767	4.4	15622595	2417695058	2454888350
SRX2037540	1.5052341090790198	40599173	12977131	40599173	4.4	12975310	1999403020	2029958650
SRX2037541	1.6677735204206432	42112459	16947758	42112459	4.4	13004307	2070505928	2105622950
SRX2037542	1.7136848686154393	48235348	20643988	48235348	4.4	14818326	2370437307	2411767400
SRX2037691	9.12526823241462	17360891	138907446	17360891	4.4	6740631	1593442976	1753449991
SRX2037693	3.8906828835931364	17495753	42897779	17495753	4.4	6787296	1698319922	1767071053
SRX2037695	8.513222461443693	15074813	111533401	15074813	4.4	5754469	1392937524	1522556113
SRX2037697	3.59040201789013	15868699	37829869	15868699	4.4	6137257	1545193840	1602738599
SRX2037699	8.72692454005249	16502828	128659259	16502828	4.4	6363874	1521326504	1666785628
SRX2037713	4.623493028213961	17264498	61252855	17264498	4.4	7361983	1663093789	1743714298
SRX2037715	9.7494092328635	17969097	157274675	17969097	4.4	6926597	1637938836	1814878797
SRX2037717	3.6452590385221146	13464928	34099090	13464928	4.4	5138299	1310383746	1359957728
SRX2116174	2.8363336478374976	3645705	7626981	3645705	4.4	1369423	534887397	550501455
SRX2116175	4.260694825597855	3909093	16355062	3909093	4.4	1864259	565123310	590273043
SRX2116176	3.7150569805397256	3471822	8049011	3471822	4.4	1421974	504769117	524245122
SRX21659709	1.998549628920013	10250710	4249171	10250710	4.4	3992518	1506876671	1537606500
SRX21659710	1.4183505919818966	11218530	412742	11218530	4.4	4397548	1658911787	1682779500
SRX21659711	2.0478347214864967	25122588	8653523	25122588	4.4	9780339	3691217838	3768388200
SRX22720559	0.4967059349064956	18141718	1154726	18141718	4.4	5742112	1805160701	1814171800
SRX22720560	0.49036426640185987	18112321	716346	18112321	4.4	6085623	1802350465	1811232100
SRX22720561	0.4598536084754942	18098862	1070459	18098862	4.4	5443810	1801563373	1809886200
SRX22720562	0.4637148927603112	18035347	1137430	18035347	4.4	5434976	1795171441	1803534700
SRX22720563	0.4558449771201231	18044459	686715	18044459	4.4	5643906	1796220424	1804445900
SRX22720564	0.4745095363665337	18145433	637521	18145433	4.4	6006957	1805933119	1814543300
SRX22720565	0.45921344314969287	18052198	1074829	18052198	4.4	5430021	1796929988	1805219800
SRX22720566	0.5700767047867785	18117383	1190582	18117383	4.4	6260817	1801410002	1811738300
SRX22720567	0.48545676243832486	18023669	714314	18023669	4.4	5995343	1793617188	1802366900
SRX22720568	0.4902105705468686	18036853	715771	18036853	4.4	6035949	1794843444	1803685300
SRX22720569	0.46269211663545734	18089662	1143838	18089662	4.4	5439121	1800596256	1808966200
SRX22720570	0.47969461029459165	18118096	665397	18118096	4.4	6034058	1803118447	1811809600
SRX22720571	0.46129339951740034	18133871	1135426	18133871	4.4	5420635	1805022065	1813387100
SRX22720572	0.4706915603398046	18065206	1123239	18065206	4.4	5564511	1798017460	1806520600
SRX22720573	0.4866363909895892	18026792	664688	18026792	4.4	6071229	1793906707	1802679200
SRX22720574	0.4868693910878593	18081492	526013	18081492	4.4	6139761	1799345875	1808149200
SRX22720575	0.46712708472013054	18013629	1325507	18013629	4.4	5330998	1792948246	1801362900
SRX22720576	0.4646584417092944	18044592	1207960	18044592	4.4	5382076	1796074628	1804459200
SRX22720577	0.4898740805992549	18083790	696806	18083790	4.4	6073088	1799520220	1808379000
SRX22720578	0.4836607174641331	18034574	541078	18034574	4.4	6143324	1794734785	1803457400
SRX22720579	0.4640975614554747	18094523	1316040	18094523	4.4	5327346	1801054676	1809452300
SRX3316529	1.3816342698763182	34350728	29689711	34350728	4.4	10796512	3387612657	3435072800
SRX3316530	0.9055928818681925	27446977	7714932	27446977	4.4	9208893	2719841913	2744697700
SRX3316531	1.4776954096685373	27522653	25931415	27522653	4.4	8325981	2711595202	2752265300
SRX3316532	1.3851787824970234	31424301	28118622	31424301	4.4	9494438	3098901825	3142430100
SRX3316533	0.8482948625383407	31157488	7307707	31157488	4.4	10421427	3089318063	3115748800
SRX3316534	0.8223657151476013	26824861	6498760	26824861	4.4	9023463	2660426254	2682486100
SRX3316535	5.578398911534129	29408731	79820231	29408731	4.4	9714431	2776819467	2940873100
SRX3316536	1.460234084451442	27231625	24014524	27231625	4.4	8726354	2683397953	2723162500
SRX3316537	0.7695298419473152	27744989	6426197	27744989	4.4	9332323	2753148303	2774498900
SRX3316538	0.8881680444342229	26962821	5711593	26962821	4.4	9174673	2672334584	2696282100
SRX3316539	1.4643759850429132	24798412	24000445	24798412	4.4	7477220	2443527001	2479841200
SRX3316540	1.370922338163433	29590763	26053499	29590763	4.4	8937174	2918509662	2959076300
SRX3316541	0.7403697343231194	30359962	6122853	30359962	4.4	10144912	3013518603	3035996200
SRX3316542	0.8170470252623685	27131502	6176534	27131502	4.4	9162725	2690982487	2713150200
SRX3316543	1.7804571228133745	30379232	38328929	30379232	4.4	9257129	2983834280	3037923200
SRX3316544	3.2959284826292983	24399331	49113297	24399331	4.4	7609071	2359514650	2439933100
SRX3316545	0.8196230425770621	23288784	5133803	23288784	4.4	7834366	2309790376	2328878400
SRX3316546	0.8141243143061767	27696764	6208387	27696764	4.4	9264574	2747127791	2769676400
SRX3316547	1.275355516468202	21767768	15866425	21767768	4.4	6733198	2149015157	2176776800
SRX3316548	1.5764153199668438	23732584	24284870	23732584	4.4	7284590	2335845991	2373258400
SRX3316549	0.8066523896045319	23030882	4558939	23030882	4.4	7846186	2284510284	2303088200
SRX3316550	1.3072046659561025	27684101	22136698	27684101	4.4	8484681	2732221314	2768410100
SRX3316551	0.8562885087470655	29426269	7385602	29426269	4.4	9693924	2917429524	2942626900
SRX3316552	0.7486427308297089	26822793	5075249	26822793	4.4	8934663	2662198611	2682279300
SRX3316553	1.6709829722248362	25068043	28116297	25068043	4.4	7779518	2464916027	2506804300
SRX3316554	1.4211196195256126	25779186	22507142	25779186	4.4	8117051	2541283293	2577918600
SRX3316555	0.8079422343818924	22672033	5088157	22672033	4.4	7479229	2248885607	2267203300
SRX3316556	0.94204614094967	24069769	5777390	24069769	4.4	8128672	2384302067	2406976900
SRX3316557	1.4436996499883183	26477402	23999232	26477402	4.4	8087519	2609514784	2647740200
SRX3316558	3.2362569731734534	22897394	43664705	22897394	4.4	7207866	2215637549	2289739400
SRX3316559	0.5712935940421654	25825490	0	25825490	4.4	8734924	2567795063	2582549000
SRX3316560	1.4490946234852182	26255596	22702092	26255596	4.4	8212260	2587512757	2625559600
SRX3316561	0.7500644634914286	26984266	5983684	26984266	4.4	8836649	2678186661	2698426600
SRX3316625	1.436766241372656	25106945	21387414	25106945	4.4	7848243	2474621689	2510694500
SRX3316626	1.2656231152477093	24472712	17425334	24472712	4.4	7594787	2416297970	2447271200
SRX3316627	0.7662066887782545	25442165	5154172	25442165	4.4	8475539	2524722543	2544216500
SRX3316628	0.7522829774676824	25398630	4693086	25398630	4.4	8539938	2520756043	2539863000
SRX3316629	1.2160234439115198	23542829	16403452	23542829	4.4	7209667	2325654268	2354282900
SRX3316630	0.7475578427177361	30347554	5977717	30347554	4.4	10196435	3012068848	3034755400
SRX3316631	1.3777994011573245	28245148	24779282	28245148	4.4	8648384	2785598652	2824514800
SRX3316632	1.2522827563586554	23753411	16998694	23753411	4.4	7435516	2345595113	2375341100
SRX3316633	0.8008945100933534	23800514	5032437	23800514	4.4	7973052	2360989699	2380051400
SRX3316634	0.755836639484396	24759153	5041324	24759153	4.4	8338605	2457201425	2475915300
SRX3316735	1.0762299791919994	28944636	6972386	28944636	4.4	9891497	2863312515	2894463600
SRX3316736	0.8130093591492604	31479998	5449937	31479998	4.4	10691261	3122406267	3147999800
SRX3316737	1.2495333455988582	32774790	23850814	32774790	4.4	9943680	3236525807	3277479000
SRX3316738	1.1870799260731075	29745062	18617973	29745062	4.4	9111897	2939196434	2974506200
SRX3316739	0.8194689570709344	25601885	4749344	25601885	4.4	8697486	2539208550	2560188500
SRX3316740	2.3127843266279937	20011316	6442376	20011316	4.4	7937035	1954849742	2001131600
SRX3316741	2.643237429422092	38532596	44774259	38532596	4.4	13384265	3751408800	3853259600
SRX3316742	1.1603770598177088	29438406	18896169	29438406	4.4	8929503	2909680949	2943840600
SRX3316743	0.8107107301655474	29430860	5766104	29430860	4.4	9958039	2919226086	2943086000
SRX3316744	73.00838320306953	29759866	542804624	29759866	4.4	24933854	803266899	2975986600
SRX3316745	8.130466617830892	24501164	69723829	24501164	4.4	9483860	2250910504	2450116400
SRX3316746	26.928452935896953	29756511	267461850	29756511	4.4	15434989	2174354294	2975651100
SRX3316747	1.0233339621855746	27181796	4318888	27181796	4.4	9655849	2690363545	2718179600
SRX3316748	0.8072223555379966	26691015	5639759	26691015	4.4	9007482	2647555916	2669101500
SRX3316749	0.7277872482655654	25086705	0	25086705	4.4	7847505	2490412716	2508670500
SRX3316750	0.8102585273613612	27652663	5787473	27652663	4.4	9320739	2742860494	2765266300
SRX3316751	0.5204231521614335	21827042	0	21827042	4.4	6757582	2171344902	2182704200
SRX3316752	1.2574876568787525	17747942	12848655	17747942	4.4	5448852	1752476382	1774794200
SRX3316753	0.7936432347082812	22830102	4005351	22830102	4.4	7760067	2264891244	2283010200
SRX3316754	0.7699301253218748	20338269	3129365	20338269	4.4	6857626	2018167854	2033826900
SRX3316755	1.751799179789975	26217919	32043154	26217919	4.4	7945948	2575863371	2621791900
SRX3316756	1.3437691018675706	19360018	14764297	19360018	4.4	6010981	1909986406	1936001800
SRX3316757	0.773924542355556	20774807	3176980	20774807	4.4	7024490	2061402567	2077480700
SRX3316758	0.9672767388019405	26464630	7195548	26464630	4.4	9026585	2620864379	2646463000
SRX3411505	5.764510860971942	8664510	36675837	8664510	4.4	3391533	1224756507	1299676500
SRX3411506	4.789190756312227	7763121	30921101	7763121	4.4	2143248	1108699549	1164468150
SRX3411507	22.666136651894295	7260175	18962087	7260175	4.4	3797024	842186072	1089026250
SRX3411508	21.09703644695751	5873659	13267500	5873659	4.4	3054773	695173653	881048850
SRX3411509	5.268357660552186	7911166	27834122	7911166	4.4	2480504	1124156622	1186674900
SRX3411510	35.449044432856006	8069344	25260687	8069344	4.4	4704840	781325799	1210401600
SRX3411511	8.434693851462633	7666246	57692039	7666246	4.4	3154351	1052943243	1149936900
SRX3411512	6.030946594096546	6574423	35963709	6574423	4.4	1959672	926688459	986163450
SRX3411513	34.68110845267993	7543296	24329055	7543296	4.4	4465334	739079600	1131494400
SRX3411514	23.709553733523904	5670715	13350205	5670715	4.4	2763789	648932067	850607250
SRX3411515	5.11862320625267	4973875	23694192	4973875	4.4	1618295	707892162	746081250
SRX3411516	7.058409373432211	6094701	42148840	6094701	4.4	2713593	849676808	914205150
SRX3411517	12.471447535542529	5926984	31421675	5926984	4.4	2429543	778170495	889047600
SRX3411518	62.70625354497311	7846792	8153965	7846792	4.4	5823707	438954407	1177018800
SRX3411519	6.834065165267789	3491011	28460813	3491011	4.4	1283470	487864955	523651650
SRX3411520	9.217538307941311	3637888	14882908	3637888	4.4	1430746	495384642	545683200
SRX3411521	5.189632323307347	6139479	33472865	6139479	4.4	2109679	873129392	920921850
SRX3411522	5.9942594240371365	4440321	29156751	4440321	4.4	1610024	626123496	666048150
SRX3411523	7.668591041408127	4696244	25662472	4696244	4.4	1607862	650416238	704436600
SRX3411524	9.04819218799992	6481251	33927937	6481251	4.4	2517624	884222243	972187650
SRX3411525	6.850122179798731	4547533	36677284	4547533	4.4	1710708	635403215	682129950
SRX3541437	0.5133589326079572	40341679	958624	40341679	4.4	15119283	3997772280	4018401101
SRX3541438	0.45342237766082943	32233246	784228	32233246	4.4	10166713	3196467711	3211027227
SRX3541439	0.4348729878120361	32720362	555130	32720362	4.4	10267561	3251917527	3266121005
SRX3541440	0.4379212995913364	30607899	484497	30607899	4.4	9861039	3041572464	3054950744
SRX3541441	0.5246617953484112	31270936	594474	31270936	4.4	12296767	3101775892	3118135558
SRX3541442	0.45581014507982764	34984365	762218	34984365	4.4	11135291	3470256199	3486146408
SRX3541443	0.41315579800603097	28370403	328283	28370403	4.4	8370771	2819928420	2831627453
SRX3541444	0.4563302581683905	28524609	276971	28524609	4.4	9412538	2834623551	2847618094
SRX3541445	0.4953850036033056	32841095	727515	32841095	4.4	11798135	3257204614	3273420649
SRX3541446	0.5108031631028209	36566911	869916	36566911	4.4	13640968	3625077376	3643689457
SRX3541447	0.4143981848377663	30554514	400556	30554514	4.4	8954157	3035377873	3048008766
SRX3541448	0.4222224414227077	26870527	493940	26870527	4.4	8125825	2669130786	2680448240
SRX3541449	0.534949212574459	36439716	862439	36439716	4.4	14528949	3610239892	3629656712
SRX3541450	0.42037679304155257	30407552	360983	30407552	4.4	9129094	3021321120	3034075670
SRX3541451	0.46242167405514095	31506637	829170	31506637	4.4	10167069	3122068726	3136572919
SRX3541452	0.5422128146534815	22377044	512740	22377044	4.4	9065292	2215065174	2227141018
SRX3541453	0.466161435251643	23818597	255617	23818597	4.4	7953758	2365892799	2376973332
SRX5252024	1.8090746250437135	13716389	6657904	13716389	4.4	5245588	1360293178	1385355289
SRX5252025	1.7050555603257875	12062223	7924751	12062223	4.4	4400397	1197512095	1218284523
SRX5252026	0.8416345571332087	9026043	0	9026043	4.4	3274575	903957747	911630343
SRX5252027	1.8918147703118864	11343588	13028393	11343588	4.4	4130411	1124027821	1145702388
SRX5252028	1.4142156072877583	15096381	8465578	15096381	4.4	5316221	1503171448	1524734481
SRX5252029	2.0452410016863447	10012861	8184077	10012861	4.4	3637997	990615460	1011298961
SRX5252030	1.6108937187932377	11433816	8248721	11433816	4.4	4064697	1136212567	1154815416
SRX5252031	1.7613642577446897	9833718	10849038	9833718	4.4	3441285	975711551	993205518
SRX5252032	1.4283841067912246	13730958	8388314	13730958	4.4	4787377	1367017545	1386826758
SRX5252033	1.7405233995525504	15771444	9840742	15771444	4.4	5758922	1565190771	1592915844
SRX5252034	3.6412244780561256	10729389	28833770	10729389	4.4	4138751	1044209494	1083668289
SRX5252035	1.7100926299164216	12168129	8623837	12168129	4.4	4461498	1207964315	1228981029
SRX5252036	1.5703163184928883	11099660	7272559	11099660	4.4	3965248	1103461383	1121065660
SRX5252037	1.9051572691017729	10478056	8091845	10478056	4.4	3751106	1038121688	1058283656
SRX5252038	4.2460082591990345	9138625	32492991	9138625	4.4	3477877	883810421	923001125
SRX5252039	1.9844080234577912	7625402	7248449	7625402	4.4	2775652	754882374	770165602
SRX5252040	1.2898272197961775	15234277	7704967	15234277	4.4	5355319	1518815896	1538661977
SRX5252041	1.5632837501045267	9695034	7293850	9695034	4.4	3412731	963890784	979198434
SRX5252042	1.5735784318651949	10518723	7596955	10518723	4.4	3743501	1045673467	1062391023
SRX5252043	5.983030986680881	9722851	51740805	9722851	4.4	3843610	923254111	982007951
SRX5252044	2.0874199977695	9764983	8684102	9764983	4.4	3643912	965675826	986263283
SRX5252045	1.407006877718282	12777515	8143973	12777515	4.4	4469549	1272371183	1290529015
SRX5252046	1.5863467774536948	8329302	6842135	8329302	4.4	2931403	827914209	841259502
