Sample	Sense	Undetermined	Antisense
SRX3316738	2.12	41.52	56.37
SRX3316739	1.6199999999999999	41.63	56.75
SRX3316740	1.26	47.13	51.61
SRX3316741	1.8399999999999999	46.160000000000004	52.0
SRX3316742	1.73	41.089999999999996	57.18
SRX3316743	1.8800000000000001	41.099999999999994	57.02
SRX3316744	1.38	48.4	50.22
SRX3316745	1.23	49.830000000000005	48.93
SRX3316746	1.16	48.49	50.339999999999996
SRX3316747	1.54	42.55	55.92
SRX3316748	1.92	41.589999999999996	56.49999999999999
SRX3316749	1.4200000000000002	43.81	54.769999999999996
SRX3316750	1.72	41.53	56.74
SRX3316751	2.08	39.57	58.35
SRX3316752	1.95	39.46	58.589999999999996
SRX3316753	1.91	39.17	58.919999999999995
SRX3316754	1.91	39.81	58.28
SRX3316755	1.87	39.53	58.599999999999994
SRX3316756	2.04	39.72	58.24
SRX3316757	1.97	39.53	58.5
SRX3316758	1.91	40.21	57.879999999999995
SRX3411505	2.19	95.13000000000001	2.68
SRX3411506	3.74	91.7	4.569999999999999
SRX3411507	2.8000000000000003	93.58	3.62
SRX3411508	2.03	95.42	2.55
SRX3411509	2.23	95.17999999999999	2.59
SRX3411510	2.67	93.16	4.17
SRX3411511	2.22	95.19999999999999	2.5700000000000003
SRX3411512	1.8599999999999999	95.52000000000001	2.6100000000000003
SRX3411513	2.9000000000000004	93.30000000000001	3.8
SRX3411514	23.97	49.29	26.740000000000002
SRX3411515	21.38	56.34	22.28
SRX3411516	29.049999999999997	33.83	37.12
SRX3411517	13.389999999999999	69.47	17.14
SRX3411518	25.47	45.85	28.67
SRX3411519	22.2	54.02	23.78
SRX3411520	8.21	79.03	12.76
SRX3411521	25.41	48.71	25.88
SRX3411522	19.2	60.29	20.52
SRX3411523	19.220000000000002	63.019999999999996	17.76
SRX3411524	3.85	92.03	4.12
SRX3411525	13.889999999999999	71.91	14.19
SRX3541437	1.44	45.67	52.89
SRX3541438	1.81	39.61	58.58
SRX3541439	1.49	42.38	56.13
SRX3541440	1.46	40.19	58.36
SRX3541441	1.66	47.52	50.82
SRX3541442	3.6900000000000004	47.67	48.64
SRX3541443	3.58	53.53	42.88
SRX3541444	3.2	51.83	44.97
SRX3541445	3.36	49.86	46.77
SRX3541446	3.5000000000000004	44.080000000000005	52.42
SRX3541447	2.94	46.92	50.13999999999999
SRX3541448	3.8	42.14	54.059999999999995
SRX3541449	5.94	51.55	42.51
SRX3541450	4.97	56.69	38.34
SRX3541451	7.26	44.61	48.13
SRX3541452	6.11	52.239999999999995	41.65
SRX3541453	5.390000000000001	55.15	39.46
SRX5252024	14.899999999999999	43.09	42.01
SRX5252025	17.82	42.41	39.77
SRX5252026	21.08	42.44	36.480000000000004
SRX5252027	13.96	43.47	42.57
SRX5252028	13.96	41.83	44.21
SRX5252029	17.0	42.9	40.11
SRX5252030	18.970000000000002	43.04	37.99
SRX5252031	8.55	42.59	48.86
SRX5252032	14.85	42.63	42.52
SRX5252033	12.659999999999998	44.12	43.22
SRX5252034	13.74	43.37	42.89
SRX5252035	8.709999999999999	45.57	45.72
SRX5252036	20.25	42.51	37.24
SRX5252037	17.94	42.870000000000005	39.190000000000005
SRX5252038	13.84	42.54	43.61
SRX5252039	21.09	42.84	36.07
SRX5252040	10.39	43.86	45.75
SRX5252041	20.810000000000002	42.49	36.7
SRX5252042	18.44	42.54	39.019999999999996
SRX5252043	17.61	42.86	39.53
SRX5252044	19.59	42.78	37.63
SRX5252045	17.87	42.36	39.77
SRX5252046	21.08	42.17	36.75
SRX5252047	17.740000000000002	43.059999999999995	39.2
SRX5252048	20.349999999999998	42.39	37.26
SRX5252049	20.21	42.620000000000005	37.169999999999995
SRX5252050	21.47	42.22	36.309999999999995
SRX5252051	20.0	42.47	37.53
SRX5252052	19.43	41.52	39.04
