Sample	Unassigned_Read_Type	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_MappingQuality	Unassigned_FragmentLength	Assigned	percent_assigned	Unassigned_MultiMapping	Unassigned_Singleton	Unassigned_NoFeatures	Unassigned_Duplicate	Unassigned_rRNA	Total	Unassigned_NonSplit	Unassigned_Unmapped	Unassigned_Ambiguity
SRX14570266	0	0	1381555	0	0	0	21881553	77.12405291828969	0	0	3307529	0	30263	28371892	0	1754928	16064
SRX14570267	0	0	832918	0	0	0	22507496	82.3358743842779	0	0	2354037	0	29727	27336196	0	1596368	15650
SRX14570268	0	0	658686	0	0	0	18196313	81.84839702968658	0	0	1928987	0	25585	22231728	0	1409494	12663
SRX14570269	0	0	488954	0	0	0	13527944	81.04605925085764	0	0	1509106	0	44355	16691674	0	1112394	8921
SRX14570270	0	0	605340	0	0	0	17814246	82.29874299114425	0	0	1824311	0	38912	21645830	0	1351732	11289
SRX14570271	0	0	573975	0	0	0	15126428	79.99829494112628	0	0	1857815	0	108197	18908438	0	1232046	9977
SRX14570272	0	0	564796	0	0	0	15915282	79.14539210911298	0	0	1960478	0	71019	20108918	0	1586512	10831
SRX14570273	0	0	568309	0	0	0	15993819	79.25188917850132	0	0	1910829	0	69102	20180994	0	1627320	11615
SRX14570274	0	0	685647	0	0	0	18091443	79.87190345568315	0	0	2192860	0	82159	22650572	0	1585896	12567
SRX14570275	0	0	670507	0	0	0	18601784	80.61242929646227	0	0	2246101	0	56797	23075578	0	1487746	12643
SRX14570276	0	0	598693	0	0	0	17124942	80.68547597147763	0	0	1941896	0	56726	21224318	0	1490452	11609
SRX14570277	0	0	826719	0	0	0	22431744	80.22997997375042	0	0	2686800	0	73104	27959304	0	1925648	15289
SRX14953908	0	0	1206827	0	0	0	24092674	29.687718143235266	0	0	1964661	0	3238586	81153674	0	50635782	15144
SRX14953909	0	0	2542948	0	0	0	48851756	74.96728643431848	0	0	4251309	0	1126049	65164098	0	8356810	35226
SRX14953910	0	0	1721380	0	0	0	35145872	53.245941758490225	0	0	2655272	0	2706232	66006668	0	23754532	23380
SRX14953911	0	0	2136571	0	0	0	44709576	72.62501049750797	0	0	3378149	0	1193918	61562230	0	10112890	31126
SRX14953912	0	0	526785	0	0	0	10369224	16.49127248992637	0	0	890850	0	1642401	62877040	0	49440908	6872
SRX14953913	0	0	2259157	0	0	0	46661107	66.21199761313255	0	0	6050841	0	1538792	70472284	0	13933374	29013
SRX14953914	0	0	351489	0	0	0	7488938	13.087599916325349	0	0	1099701	0	1670256	57221630	0	46606744	4502
SRX14953915	0	0	408042	0	0	0	8623423	15.036912999778895	0	0	1134521	0	1610161	57348360	0	45566792	5421
